pid,Player,Mat,Inns_bowl,Balls_bowled,Runs_given,Wkts_taken,Avg_bowl,Econ_bowl,SR_bowl,4wkt,5wkt,BBwkts,BBruns,debut,retire,team1,team2,team3
MMuralitharan19932011,M Muralitharan,350,341,18811,12326,534,23.08,3.93,35.2,15,10,7,30,1993,2011,Asia,ICC,SL
WasimAkram19842003,Wasim Akram,356,351,18186,11812,502,23.52,3.89,36.2,17,6,5,15,1984,2003,PAK,,
WaqarYounis19892003,Waqar Younis,262,258,12698,9919,416,23.84,4.68,30.5,14,13,7,36,1989,2003,PAK,,
WPUJCVaas19942008,WPUJC Vaas,322,320,15775,11014,400,27.53,4.18,39.4,9,4,8,19,1994,2008,Asia,SL,
ShahidAfridi19962015,Shahid Afridi,398,372,17670,13632,395,34.51,4.62,44.7,4,9,7,12,1996,2015,Asia,ICC,PAK
SMPollock19962008,SM Pollock,303,297,15712,9631,393,24.5,3.67,39.9,12,5,6,35,1996,2008,Afr,ICC,SA
GDMcGrath19932007,GD McGrath,250,248,12970,8391,381,22.02,3.88,34.0,9,7,7,15,1993,2007,AUS,ICC,
BLee20002012,B Lee,221,217,11185,8877,380,23.36,4.76,29.4,14,9,5,22,2000,2012,AUS,,
SLMalinga20042019,SL Malinga,226,220,10936,9760,338,28.87,5.35,32.3,11,8,6,38,2004,2019,SL,,
AKumble19902007,A Kumble,271,265,14496,10412,337,30.89,4.3,43.0,8,2,6,12,1990,2007,Asia,INDIA,
STJayasuriya19892011,ST Jayasuriya,445,368,14874,11871,323,36.75,4.78,46.0,8,4,6,29,1989,2011,Asia,SL,
JSrinath19912003,J Srinath,229,227,11935,8847,315,28.08,4.44,37.8,7,3,5,23,1991,2003,INDIA,,
DLVettori19972015,DL Vettori,295,277,14060,9674,305,31.71,4.12,46.0,8,2,5,7,1997,2015,ICC,NZ,
SKWarne19932005,SK Warne,194,191,10642,7541,293,25.73,4.25,36.3,12,1,5,33,1993,2005,AUS,ICC,
ABAgarkar19982007,AB Agarkar,191,188,9484,8021,288,27.85,5.07,32.9,10,2,6,42,1998,2007,INDIA,,
SaqlainMushtaq19952003,Saqlain Mushtaq,169,165,8770,6275,288,21.78,4.29,30.4,11,6,5,20,1995,2003,PAK,,
ZKhan20002012,Z Khan,200,197,10097,8301,282,29.43,4.93,35.8,7,1,5,42,2000,2012,Asia,INDIA,
JHKallis19962014,JH Kallis,328,283,10750,8680,273,31.79,4.84,39.3,2,2,5,30,1996,2014,Afr,ICC,SA
AADonald19912003,AA Donald,164,162,8561,5926,272,21.78,4.15,31.4,11,2,6,23,1991,2003,SA,,
AbdulRazzaq19962011,Abdul Razzaq,265,254,10941,8564,269,31.83,4.69,40.6,8,3,6,35,1996,2011,Asia,PAK,
JMAnderson20022015,JM Anderson,194,191,9584,7861,269,29.22,4.92,35.6,11,2,5,23,2002,2015,ENG,,
HarbhajanSingh19982015,Harbhajan Singh,236,227,12479,8973,269,33.35,4.31,46.3,2,3,5,31,1998,2015,Asia,INDIA,
MashrafeMortaza20012019,Mashrafe Mortaza,217,217,10789,8759,266,32.92,4.87,40.5,7,1,6,26,2001,2019,Asia,BDESH,
MNtini19982009,M Ntini,173,171,8687,6559,266,24.65,4.53,32.6,8,4,6,22,1998,2009,ICC,SA,
ShakibAlHasan20062019,Shakib Al Hasan,206,203,10517,7857,260,30.21,4.48,40.4,8,2,5,29,2006,2019,BDESH,,
NKapilDev19781994,N Kapil Dev,225,221,11202,6945,253,27.45,3.71,44.2,3,1,5,43,1978,1994,INDIA,,
ShoaibAkhtar19982011,Shoaib Akhtar,163,162,7764,6169,247,24.97,4.76,31.4,6,4,6,16,1998,2011,Asia,ICC,PAK
KDMills20012015,KD Mills,170,169,8230,6485,240,27.02,4.72,34.2,8,1,5,25,2001,2015,NZ,,
MGJohnson20052015,MG Johnson,153,150,7489,6038,239,25.26,4.83,31.3,9,3,6,31,2005,2015,AUS,,
HHStreak19932005,HH Streak,189,185,9468,7129,239,29.82,4.51,39.6,7,1,5,32,1993,2005,Afr,ZIM,
DGough19942006,D Gough,159,156,8470,6209,235,26.42,4.39,36.0,10,2,5,44,1994,2006,ENG,ICC,
CAWalsh19852000,CA Walsh,205,204,10822,6918,227,30.47,3.83,47.6,6,1,5,1,1985,2000,WI,,
CELAmbrose19882000,CEL Ambrose,176,175,9353,5429,225,24.12,3.48,41.5,6,4,5,17,1988,2000,WI,,
AbdurRazzak20042014,Abdur Razzak,153,152,7965,6065,207,29.29,4.56,38.4,5,4,5,29,2004,2014,BDESH,,
CZHarris19902004,CZ Harris,250,232,10667,7613,203,37.5,4.28,52.5,2,1,5,42,1990,2004,NZ,,
CJMcDermott19851996,CJ McDermott,138,138,7461,5018,203,24.71,4.03,36.7,4,1,5,44,1985,1996,AUS,,
CLCairns19912006,CL Cairns,215,186,8168,6594,201,32.8,4.84,40.6,3,1,5,42,1991,2006,ICC,NZ,
DJBravo20042014,DJ Bravo,164,150,6511,5874,199,29.51,5.41,32.7,6,1,6,43,2004,2014,WI,,
KMDNKulasekara20032017,KMDN Kulasekara,184,181,8263,6751,199,33.92,4.9,41.5,4,1,5,22,2003,2017,SL,,
BKVPrasad19942001,BKV Prasad,161,160,8129,6332,196,32.3,4.67,41.4,3,1,5,27,1994,2001,INDIA,,
DWSteyn20052019,DW Steyn,125,124,6256,5087,196,25.95,4.87,31.9,4,3,6,39,2005,2019,Afr,SA,
SRWaugh19862002,SR Waugh,325,207,8883,6761,195,34.67,4.56,45.5,3,0,4,33,1986,2002,AUS,,
CLHooper19872003,CL Hooper,227,203,9573,6958,193,36.05,4.36,49.6,3,0,4,34,1987,2003,WI,,
LKlusener19962004,L Klusener,171,164,7336,5751,192,29.95,4.7,38.2,1,6,6,49,1996,2004,SA,,
MMorkel20072018,M Morkel,117,114,5760,4761,188,25.32,4.95,30.6,7,2,5,21,2007,2018,Afr,SA,
CRDFernando20012012,CRD Fernando,147,141,6507,5648,187,30.2,5.2,34.7,3,1,6,27,2001,2012,Asia,SL,
TGSouthee20082019,TG Southee,140,138,7021,6373,186,34.26,5.44,37.7,4,3,7,33,2008,2019,NZ,,
SaeedAjmal20082015,Saeed Ajmal,113,112,6000,4182,184,22.72,4.18,32.6,6,2,5,24,2008,2015,PAK,,
